sym,country,state,fiscal_end,sic,sic_desc,exchange
A,United States,DE,1031.0,3826.0,Laboratory Analytical Instruments,NYSE
AA,United States,DE,1231.0,3334.0,Primary Production of  Aluminum,NYSE
AAAU,United States,NY,1231.0,6221.0,Commodity Contracts Brokers & Dealers,CBOE
AACG,Foreign,E9,1231.0,8200.0,Services-Educational Services,Nasdaq
AACI,United States,E9,930.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
AACP,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq,Nas"
AADX,United States,DE,1231.0,3728.0,"Aircraft Parts & Auxiliary Equipment, NE",NYSE
AAL,United States,DE,1231.0,4512.0,"Air Transportation, Scheduled",Nasdaq
AAME,United States,GA,1231.0,6311.0,Life Insurance,Nasdaq
AAMI,United States,DE,1231.0,6282.0,Investment Advice,NYSE
AAOI,United States,DE,1231.0,3674.0,Semiconductors & Related Devices,Nasdaq
AAON,United States,NV,1231.0,3585.0,Air-Cond & Warm Air Heatg Equip & Comm &,Nasdaq
AAP,United States,DE,102.0,5531.0,Retail-Auto & Home Supply Stores,NYSE
AAPG,Foreign,E9,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
AAPI,United States,NV,1231.0,6411.0,"Insurance Agents, Brokers & Service",OTC
AAPL,United States,CA,926.0,3571.0,Electronic Computers,Nasdaq
AAQL,United States,NY,331.0,7331.0,Services-Direct Mail Advertising Service,OTC
AARD,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
AASP,United States,NV,1231.0,5900.0,Retail-Miscellaneous Retail,OTC
AAT,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
AATC,United States,MN,1231.0,3829.0,"Measuring & Controlling Devices, NEC",OTC
AAUAF,Foreign,,1231.0,1000.0,Metal Mining,OTC
AAUC,Foreign,A6,1231.0,1040.0,Gold and Silver Ores,NYSE
AAWH,United States,DE,1231.0,2833.0,Medicinal Chemicals & Botanical Products,OTC
AB,United States,DE,1231.0,6282.0,Investment Advice,NYSE
ABAT,United States,NV,630.0,1400.0,Mining & Quarrying of  Nonmetallic Miner,Nasdaq
ABBNY,Foreign,,1231.0,3613.0,Switchgear & Switchboard Apparatus,"OTC,OTC"
ABBV,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,NYSE
ABCB,United States,GA,1231.0,6022.0,State Commercial Banks,NYSE
ABCL,United States,A1,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ABCP,United States,,1231.0,6512.0,Opeators of  Nonresidential Buildings,OTC
ABEO,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ABEV,Foreign,D5,1231.0,2080.0,Beverages,NYSE
ABG,United States,DE,1231.0,5500.0,Retail-Auto Dealers & Gasoline Stations,NYSE
ABIT,United States,NV,1231.0,6199.0,Finance Services,OTC
ABM,United States,DE,1031.0,7340.0,Services-To Dwellings & Other Buildings,NYSE
ABNB,United States,DE,1231.0,7340.0,Services-To Dwellings & Other Buildings,Nasdaq
ABOS,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
ABPO,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs","OTC,OTC"
ABR,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"NYSE,NYSE,NYSE,NYSE"
ABSI,United States,,1231.0,8731.0,Services-Commercial Physical & Biologica,Nasdaq
ABT,United States,IL,1231.0,2834.0,Pharmaceutical Preparations,NYSE
ABTC,United States,DE,1231.0,6199.0,Finance Services,Nasdaq
ABTS,Foreign,D8,1231.0,6199.0,Finance Services,Nasdaq
ABUS,Foreign,A1,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ABVC,United States,NV,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ABVX,Foreign,I0,1231.0,2834.0,Pharmaceutical Preparations,"Nasdaq,OTC"
ABX,United States,DE,1231.0,6282.0,Investment Advice,"NYSE,NYSE"
ACA,United States,DE,1231.0,3440.0,Fabricated Structural Metal Products,NYSE
ACAD,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ACAT,United States,NV,1231.0,8200.0,Services-Educational Services,
ACB,Foreign,A1,331.0,2833.0,Medicinal Chemicals & Botanical Products,Nasdaq
ACBM,United States,NV,1231.0,7900.0,Services-Amusement & Recreation Services,OTC
ACCL,Foreign,,,8742.0,Services-Management Consulting Services,Nasdaq
ACCO,United States,DE,1231.0,2780.0,"Blankbooks, Looseleaf Binders & Bookbind",NYSE
ACCS,United States,,1231.0,8742.0,Services-Management Consulting Services,NYSE
ACDC,United States,DE,1231.0,1389.0,"Oil & Gas Field Services, NEC",Nasdaq
ACEL,United States,DE,1231.0,7900.0,Services-Amusement & Recreation Services,NYSE
ACET,United States,DE,1226.0,2834.0,Pharmaceutical Preparations,Nasdaq
ACFN,United States,DE,1231.0,8711.0,Services-Engineering Services,Nasdaq
ACGL,United States,,1231.0,6331.0,"Fire, Marine & Casualty Insurance","Nasdaq,Nasdaq,Nasdaq"
ACGP,United States,DE,1231.0,6211.0,"Security Brokers, Dealers & Flotation Co",
ACH,United States,VA,1231.0,5047.0,"Wholesale-Medical, Dental & Hospital Equ",NYSE
ACHC,United States,DE,1231.0,8093.0,Services-Specialty Outpatient Facilities,Nasdaq
ACHR,United States,,1231.0,3721.0,Aircraft,"NYSE,NYSE"
ACHV,United States,DE,1231.0,2835.0,In Vitro & In Vivo Diagnostic Substances,Nasdaq
ACI,United States,DE,227.0,5411.0,Retail-Grocery Stores,NYSE
ACIC,United States,DE,1231.0,6331.0,"Fire, Marine & Casualty Insurance",Nasdaq
ACIU,Foreign,V8,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ACIW,United States,DE,1231.0,7372.0,Services-Prepackaged Software,Nasdaq
ACLS,United States,DE,1231.0,3559.0,"Special Industry Machinery, NEC",Nasdaq
ACM,United States,DE,930.0,8711.0,Services-Engineering Services,NYSE
ACMR,United States,CA,1231.0,3559.0,"Special Industry Machinery, NEC",Nasdaq
ACN,United States,L2,831.0,7389.0,"Services-Business Services, NEC",NYSE
ACNB,United States,PA,1231.0,6022.0,State Commercial Banks,Nasdaq
ACNT,United States,DE,1231.0,2800.0,Chemicals & Allied Products,Nasdaq
ACOG,United States,A1,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
ACON,United States,DE,1231.0,8071.0,Services-Medical Laboratories,"Nasdaq,Nasdaq"
ACQC,United States,DE,1231.0,6770.0,Blank Checks,OTC
ACR,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"NYSE,NYSE,NYSE"
ACRE,United States,MD,,6798.0,Real Estate Investment Trusts,NYSE
ACRG,United States,NV,1231.0,1400.0,Mining & Quarrying of  Nonmetallic Miner,OTC
ACRL,United States,FL,1231.0,1000.0,Metal Mining,OTC
ACRS,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ACRV,United States,,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ACT,United States,DE,1231.0,6411.0,"Insurance Agents, Brokers & Service",Nasdaq
ACTG,United States,DE,1231.0,6794.0,Patent Owners & Lessors,Nasdaq
ACTU,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ACU,United States,CT,1231.0,3420.0,"Cutlery, Handtools & General Hardware",NYSE
ACUT,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,OTC
ACVA,United States,DE,1231.0,7389.0,"Services-Business Services, NEC",NYSE
ACXP,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
AD,United States,DE,1231.0,4812.0,Radiotelephone Communications,"NYSE,NYSE,NYSE,NYSE"
ADAG,Foreign,E9,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ADAM,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"Nasdaq,Nasdaq,Nasdaq,Nas"
ADAPY,Foreign,X0,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",
ADBE,United States,DE,1127.0,7372.0,Services-Prepackaged Software,Nasdaq
ADBT,United States,DE,331.0,7372.0,Services-Prepackaged Software,
ADC,United States,DE,1231.0,6798.0,Real Estate Investment Trusts,"NYSE,NYSE"
ADCT,Foreign,V8,1231.0,2834.0,Pharmaceutical Preparations,NYSE
ADEA,United States,DE,1231.0,4841.0,Cable & Other Pay Television Services,Nasdaq
ADGM,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
ADI,United States,MA,1101.0,3674.0,Semiconductors & Related Devices,Nasdaq
ADIA,United States,NV,1231.0,2833.0,Medicinal Chemicals & Botanical Products,OTC
ADIG,United States,DE,1231.0,5072.0,Wholesale-Hardware,NYSE
ADIL,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
ADM,United States,DE,1231.0,2070.0,Fats & Oils,NYSE
ADMA,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
ADMG,United States,NV,1231.0,1000.0,Metal Mining,
