sym,date,ratio
A,2014-11-03,1.398
AA,2000-06-12,2.0
AA,2016-10-06,0.3333333333333333
AA,2016-11-01,1.2484394506866416
AAON,2001-10-01,1.5
AAON,2002-06-05,1.5
AAON,2007-08-22,1.5
AAON,2011-06-14,1.5
AAON,2013-07-03,1.5
AAON,2014-07-17,1.5
AAON,2023-08-17,1.5
AAP,2004-01-05,2.0
AAP,2005-09-26,1.5
AAPL,2000-06-21,2.0
AAPL,2005-02-28,2.0
AAPL,2014-06-09,7.0
AAPL,2020-08-31,4.0
ABCB,2005-03-11,1.2
ABCB,2009-09-28,1.0076923076923077
ABCB,2009-12-29,1.0076923076923077
ABCB,2010-03-29,1.0076923076923077
ABCB,2010-06-28,1.0047619047619047
ABEO,2006-06-05,0.2
ABEO,2014-10-24,0.02
ABEO,2022-07-05,0.04
ABM,2002-05-07,2.0
ABT,2004-05-03,1.0688328345446771
ABT,2013-01-02,2.084201750729471
ABUS,2010-11-04,0.2
ACET,2020-09-16,0.14285714285714285
ACET,2025-12-30,0.0625
ACHC,2011-11-01,0.25
ACIW,2014-07-11,3.0
ACLS,2016-07-01,0.25
ACMR,2022-03-24,3.0
ACNB,2006-11-29,1.05
ACNB,2007-11-28,1.05
ADBE,2000-10-25,2.0
ADBE,2005-05-24,2.0
ADI,2000-03-16,2.0
ADM,2000-08-24,1.05
ADM,2001-08-30,1.05
ADP,2007-04-02,1.1070519207350824
ADP,2014-10-01,1.139
ADSK,2002-04-19,2.0
ADSK,2004-12-21,2.0
ADTN,2003-12-16,2.0
ADV,2026-03-27,0.04
AEO,2001-02-26,1.5
AEO,2005-03-08,2.0
AEO,2006-12-19,1.5
AEON,2025-02-26,0.013888888888888888
AES,2000-06-02,2.0
AEVA,2024-03-19,0.2
AFCG,2024-07-10,1.461
AFG,2006-12-18,1.5
AFL,2001-03-19,2.0
AFL,2018-03-19,2.0
AGEN,2011-10-03,0.16666666666666666
AGEN,2023-04-26,1.019
AGEN,2024-04-12,0.05
AGL,2026-03-31,0.04
AGX,2001-10-09,0.06666666666666667
AIG,2000-07-31,1.5
AIG,2009-07-01,0.05
AIT,2004-12-20,1.5
AIT,2006-06-16,1.5
AIV,2020-12-01,0.807
AIV,2020-12-15,9.295
AJG,2000-03-16,2.0
AJG,2001-01-19,2.0
ALB,2007-03-02,2.0
ALIT,2026-07-01,0.05
ALK,2012-03-19,2.0
ALK,2014-07-10,2.0
ALLY,2014-04-10,310.0
ALNT,2021-05-03,1.5
ALRS,2004-04-12,2.0
ALRS,2014-09-15,3.0
ALT,2018-09-14,0.03333333333333333
ALTO,2011-06-08,0.14285714285714285
ALTO,2013-05-14,0.06666666666666667
AMAT,2000-03-16,2.0
AMAT,2002-04-17,2.0
AMC,2023-08-24,0.1
AMD,2000-08-22,2.0
AME,2004-03-01,2.0
AME,2006-11-28,1.5
AME,2010-12-22,1.5
