📌 주봉 신호 종목 현황 (2026-05-28 기준)
시총 높은 순 | 총 155개 종목

🇰🇷 한국 (3개)
       시총  [주간%]  종목명
168.4조   [+25.1%]  SK스퀘어(52주)  ← 52주신고가, 5일선라이딩
 78.1조   [+24.4%]  HD현대중공업(52주)  ← 52주신고가, 이평선수렴
3,123억    [-1.9%]  삼목에스폼  ← 이평선수렴, RSI/MACD

🇺🇸 미국 (152개)
       시총  [주간%]  종목명
$  2.7T    [+2.7%]  Apple(52주)  ← 52주신고가, 5일선라이딩
$   715B   [+10.6%]  Eli Lilly(52주)  ← 52주신고가, 이평선수렴
$   545B    [+6.1%]  Tesla  ← 이평선수렴, RSI/MACD
$   405B    [+0.4%]  UnitedHealth  ← 5일선라이딩, 이평선수렴
$     7B    [+5.5%]  Invesco  ← 5일선라이딩, 이평선수렴
$     7B    [+4.7%]  Credit Acceptance  ← 5일선라이딩, 이평선수렴
$     7B    [+0.8%]  Arrow Electronics(52주)  ← 52주신고가, 5일선라이딩
$     6B    [-0.2%]  Chart Industries  ← 이평선수렴, RSI/MACD
$     6B    [+1.6%]  H&amp;R Block  ← 이평선수렴, RSI/MACD
$     6B    [+7.6%]  Commercial Metals Company  ← 이평선수렴, RSI/MACD
$     6B    [+8.3%]  SAIC  ← 이평선수렴, RSI/MACD
$     6B    [+0.0%]  Apellis Pharmaceuticals  ← 5일선라이딩, 이평선수렴
$     6B    [-4.6%]  Selective Insurance  ← 이평선수렴, RSI/MACD
$     6B    [+9.4%]  Red Rock Resorts  ← 이평선수렴, RSI/MACD
$     6B    [-0.6%]  Banco Popular(52주)  ← 52주신고가, RSI/MACD
$     6B   [+13.7%]  Insight Enterprises  ← 이평선수렴, RSI/MACD
$     6B    [+2.4%]  Revolution Medicines(52주)  ← 52주신고가, 5일선라이딩
$     6B    [+6.4%]  Brunswick Corporation  ← 이평선수렴, RSI/MACD
$     6B    [+6.7%]  Vornado Realty Trust  ← 5일선라이딩, 이평선수렴
$     6B    [+7.4%]  NewMarket Corp  ← 이평선수렴, RSI/MACD
$     6B    [+8.5%]  Dutch Bros  ← 이평선수렴, RSI/MACD
$     5B    [+9.5%]  Leonardo DRS(52주)  ← 52주신고가, RSI/MACD
$     5B    [+0.4%]  Air Lease Corporation(52주)  ← 52주신고가, 이평선수렴
$     5B    [+0.1%]  Affiliated Managers Group  ← 이평선수렴, RSI/MACD
$     5B    [+5.5%]  Macy's  ← 이평선수렴, RSI/MACD
$     5B    [+3.3%]  MSC Industrial Direct(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+6.5%]  Polaris  ← 이평선수렴, RSI/MACD
$     5B   [+11.4%]  Varonis  ← 5일선라이딩, 이평선수렴
$     5B    [+0.5%]  Bank OZK  ← 컵위드핸들, 이평선수렴
$     5B    [+6.2%]  Hilton Grand Vacations  ← 이평선수렴, RSI/MACD
$     5B    [+2.0%]  Kite Realty(52주)  ← 52주신고가, 컵위드핸들
