📌 주봉 신호 종목 현황 (2026-05-31 기준)
시총 높은 순 | 총 261개 종목

🇰🇷 한국 (18개)
       시총  [주간%]  종목명
1853.3조    [+5.8%]  삼성전자(역사적)  ← 52주신고가, 5일선라이딩
1662.7조   [+20.3%]  SK하이닉스(역사적)  ← 52주신고가, 5일선라이딩
162.5조    [+7.8%]  삼성전자우(52주)  ← 52주신고가, 5일선라이딩
 77.7조    [+9.4%]  삼성생명(52주)  ← 52주신고가, 5일선라이딩
 69.7조   [+14.6%]  현대모비스(역사적)  ← 52주신고가, 이평선수렴
 49.0조   [+17.4%]  SK(52주)  ← 52주신고가, 5일선라이딩
 36.7조   [+17.3%]  NAVER  ← 이평선수렴, RSI/MACD
 34.5조   [+74.0%]  LG이노텍(역사적)  ← 52주신고가, 5일선라이딩
 25.5조   [+48.0%]  현대오토에버(역사적)  ← 52주신고가, 이평선수렴
 25.4조    [+0.5%]  삼성화재  ← 이평선수렴, RSI/MACD
 23.1조   [+61.4%]  삼성에스디에스(역사적)  ← 52주신고가, 이평선수렴
  3.5조    [+9.6%]  에스엘(52주)  ← 52주신고가, RSI/MACD
  1.7조   [+33.2%]  NHN(역사적)  ← 52주신고가, RSI/MACD
  1.4조    [+5.2%]  더블유게임즈(52주)  ← 52주신고가, 이평선수렴
9,165억    [+4.9%]  로보스타  ← 이평선수렴, RSI/MACD
4,080억    [-1.1%]  HL홀딩스  ← 이평선수렴, RSI/MACD
3,116억    [-1.4%]  삼목에스폼  ← 이평선수렴, RSI/MACD
3,038억   [+87.8%]  나무기술(역사적)  ← 52주신고가, RSI/MACD

🇺🇸 미국 (243개)
       시총  [주간%]  종목명
$  2.7T    [+2.3%]  Apple(52주)  ← 52주신고가, 5일선라이딩
$   715B    [+6.1%]  Eli Lilly(52주)  ← 52주신고가, 이평선수렴
$   567B    [-1.4%]  Visa  ← 5일선라이딩, 이평선수렴
$   545B    [+4.3%]  Tesla  ← 이평선수렴, RSI/MACD
$   319B    [+2.5%]  Merck  ← 컵위드핸들, 이평선수렴
$   196B    [+1.9%]  Cisco(52주)  ← 52주신고가, 5일선라이딩
$   191B   [+17.6%]  QUALCOMM(52주)  ← 52주신고가, 5일선라이딩
$   167B   [+17.7%]  IBM  ← 이평선수렴, RSI/MACD
$   140B    [+3.7%]  Morgan Stanley(52주)  ← 52주신고가, 5일선라이딩
$   136B   [+27.4%]  Micron Technology(역사적)  ← 52주신고가, 5일선라이딩
$   128B    [+6.3%]  Honeywell  ← 이평선수렴, RSI/MACD
$   126B    [+3.8%]  Goldman Sachs(52주)  ← 52주신고가, 5일선라이딩
$   116B    [+0.9%]  Elevance Health  ← 5일선라이딩, 이평선수렴
$   104B    [+5.3%]  Boeing  ← 이평선수렴, RSI/MACD
$    90B   [+11.4%]  Palo Alto Networks(역사적)  ← 52주신고가, 5일선라이딩
$    83B    [+4.6%]  Cadence Design Systems(52주)  ← 52주신고가, 이평선수렴
$    75B   [+12.8%]  CrowdStrike(역사적)  ← 52주신고가, 5일선라이딩
$    71B    [-0.3%]  Colgate-Palmolive  ← 5일선라이딩, 이평선수렴
$    60B    [+1.3%]  PNC Financial Services  ← 이평선수렴, RSI/MACD
$    58B    [+2.0%]  Monster Beverage(52주)  ← 52주신고가, 이평선수렴
$    54B    [+3.9%]  Edwards Lifesciences  ← 이평선수렴, RSI/MACD
$    53B   [+54.4%]  Snowflake  ← 이평선수렴, RSI/MACD
$    53B   [+37.7%]  Supermicro  ← 이평선수렴, RSI/MACD
$    51B    [-1.9%]  MetLife  ← 5일선라이딩, 이평선수렴
$    51B    [+6.6%]  Fortinet(52주)  ← 52주신고가, 5일선라이딩
$    50B   [+13.9%]  Palantir  ← 이평선수렴, RSI/MACD
$    50B   [+27.6%]  Ford  ← 이평선수렴, RSI/MACD
$    50B    [+7.8%]  General Motors  ← 이평선수렴, RSI/MACD
$    47B   [+10.4%]  Nucor(역사적)  ← 52주신고가, 5일선라이딩
$    45B    [+6.8%]  United Rentals(52주)  ← 52주신고가, 이평선수렴
$    42B   [+13.4%]  Datadog(역사적)  ← 52주신고가, 5일선라이딩
$    42B    [+8.4%]  MSCI(52주)  ← 52주신고가, 이평선수렴
$    41B    [+3.6%]  Ares Management  ← 5일선라이딩, 이평선수렴
$    41B    [+4.3%]  Keurig Dr Pepper  ← 5일선라이딩, 이평선수렴
$    39B    [-3.5%]  Prudential Financial  ← 이평선수렴, RSI/MACD
$    38B    [+3.2%]  Centene  ← 5일선라이딩, 이평선수렴
$    38B    [+0.6%]  Humana  ← 5일선라이딩, 이평선수렴
$    35B    [+2.3%]  Nasdaq  ← 5일선라이딩, 이평선수렴
$    34B    [-0.1%]  Electronic Arts(52주)  ← 52주신고가, 이평선수렴
$    33B    [+2.5%]  Rockwell Automation(52주)  ← 52주신고가, 이평선수렴
$    30B    [+9.0%]  Delta Air Lines(역사적)  ← 52주신고가, RSI/MACD
$    29B    [-1.2%]  Fortive  ← 컵위드핸들, RSI/MACD
$    29B    [+3.4%]  Biogen  ← 5일선라이딩, 이평선수렴
$    29B   [+10.0%]  ON Semiconductor(52주)  ← 52주신고가, 5일선라이딩
$    27B   [+21.7%]  Dollar Tree  ← 이평선수렴, RSI/MACD
$    26B    [+2.5%]  T. Rowe Price  ← 5일선라이딩, 이평선수렴
$    26B    [+5.7%]  MongoDB  ← 이평선수렴, RSI/MACD
$    25B   [+26.2%]  AppLovin  ← 이평선수렴, RSI/MACD
$    24B   [+15.6%]  HEICO  ← 이평선수렴, RSI/MACD
$    23B    [-0.5%]  Equity Residential  ← 이평선수렴, RSI/MACD
$    23B    [+1.3%]  State Street Corporation(52주)  ← 52주신고가, 5일선라이딩
$    23B   [+26.7%]  Hewlett Packard Enterprise(역사적)  ← 52주신고가, 5일선라이딩
$    23B    [+0.1%]  First Citizens BancShares  ← 이평선수렴, RSI/MACD
$    22B    [+1.8%]  M&T Bank  ← 이평선수렴, RSI/MACD
$    21B    [+0.8%]  Invitation Homes  ← 5일선라이딩, 이평선수렴
$    20B   [+23.3%]  First Solar(52주)  ← 52주신고가, 이평선수렴
$    19B   [+12.5%]  Waters Corporation  ← 이평선수렴, RSI/MACD
$    19B    [+7.2%]  Carnival Corporation  ← 이평선수렴, RSI/MACD
$    19B    [-0.3%]  Principal(52주)  ← 52주신고가, 5일선라이딩
$    19B    [+6.1%]  Williams-Sonoma  ← 이평선수렴, RSI/MACD
$    18B    [+1.0%]  Regions Financial  ← 이평선수렴, RSI/MACD
$    17B    [+0.5%]  Expeditors  ← 이평선수렴, RSI/MACD
$    16B    [+5.3%]  Southwest Airlines  ← 이평선수렴, RSI/MACD
$    16B   [+37.8%]  Okta  ← 5일선라이딩, 이평선수렴
$    16B    [-0.4%]  Essex Property Trust  ← 5일선라이딩, 이평선수렴
$    15B    [+3.3%]  Hyatt Hotels(52주)  ← 52주신고가, 이평선수렴
$    15B    [-0.1%]  AMH (American Homes 4 Rent)  ← 이평선수렴, RSI/MACD
$    14B    [+2.5%]  Host Hotels & Resorts(52주)  ← 52주신고가, 5일선라이딩
