📌 주봉 신호 종목 현황 (2026-06-14 기준)
시총 높은 순 | 총 337개 종목

🇰🇷 한국 (20개)
       시총  [주간%]  종목명
 65.1조    [+3.5%]  기아  ← 이평선수렴, RSI/MACD
 33.2조    [-2.1%]  하나금융지주  ← 이평선수렴, RSI/MACD
  9.0조   [+38.1%]  원익IPS(역사적)  ← 52주신고가, 이평선수렴
  8.9조    [+6.0%]  한국타이어앤테크놀로지  ← 이평선수렴, RSI/MACD
  7.5조   [+28.0%]  이오테크닉스(52주)  ← 52주신고가, RSI/MACD
  5.9조   [+42.1%]  HPSP(역사적)  ← 52주신고가, RSI/MACD
  4.5조   [+25.0%]  유진테크(역사적)  ← 52주신고가, 이평선수렴
  3.8조   [+21.0%]  현대백화점(역사적)  ← 52주신고가, 이평선수렴
  3.4조   [+20.5%]  에스원  ← 거래량폭발, 이평선수렴
  3.3조    [+9.6%]  현대해상  ← 이평선수렴, RSI/MACD
  3.1조   [+17.8%]  HL만도  ← 이평선수렴, RSI/MACD
  2.9조   [+31.3%]  한전KPS  ← 이평선수렴, RSI/MACD
  2.4조   [+11.8%]  제일기획  ← 거래량폭발, 이평선수렴
  1.2조    [+0.0%]  삼성화재우  ← 이평선수렴, RSI/MACD
6,324억   [+20.9%]  코미팜  ← 이평선수렴, RSI/MACD
6,109억   [+10.4%]  케이아이엔엑스  ← 이평선수렴, RSI/MACD
5,608억   [+32.0%]  펨트론  ← 이평선수렴, RSI/MACD
4,871억   [+45.6%]  에이팩트(52주)  ← 52주신고가, 이평선수렴
4,744억   [+18.1%]  메카로(역사적)  ← 52주신고가, RSI/MACD
4,176억    [+7.0%]  HL홀딩스  ← 이평선수렴, RSI/MACD

🇺🇸 미국 (317개)
       시총  [주간%]  종목명
$   871B    [+0.2%]  Berkshire Hathaway  ← 컵위드핸들, RSI/MACD
$   715B    [+0.1%]  Eli Lilly(52주)  ← 52주신고가, 5일선라이딩
$   525B    [+2.7%]  JPMorgan Chase  ← 이평선수렴, RSI/MACD
$   355B    [+3.5%]  Johnson & Johnson  ← 이평선수렴, RSI/MACD
$   319B    [-1.4%]  Merck  ← 컵위드핸들, 이평선수렴
$   287B    [+0.2%]  AbbVie  ← 5일선라이딩, 이평선수렴
$   282B    [+4.1%]  Bank of America(52주)  ← 52주신고가, 이평선수렴
$   251B    [+4.0%]  Coca-Cola(52주)  ← 52주신고가, RSI/MACD
$   198B    [+2.2%]  Wells Fargo  ← 이평선수렴, RSI/MACD
$   169B    [+2.2%]  General Electric  ← 이평선수렴, RSI/MACD
$   143B    [+1.6%]  Amgen  ← 이평선수렴, RSI/MACD
$   143B    [+0.1%]  Union Pacific Corporation(52주)  ← 52주신고가, RSI/MACD
$   140B    [+1.0%]  Morgan Stanley(52주)  ← 52주신고가, 5일선라이딩
$   138B    [+3.4%]  Philip Morris  ← 이평선수렴, RSI/MACD
$   125B   [+20.9%]  Lam Research(역사적)  ← 52주신고가, 이평선수렴
$   107B    [+4.8%]  TJX Companies(52주)  ← 52주신고가, 이평선수렴
$   100B    [-2.5%]  Automatic Data Processing  ← 5일선라이딩, 이평선수렴
$    89B    [+9.7%]  Southern Copper  ← 이평선수렴, RSI/MACD
$    79B    [+4.0%]  General Dynamics(52주)  ← 52주신고가, 이평선수렴
$    77B   [+10.3%]  Target  ← 이평선수렴, RSI/MACD
$    68B   [+10.8%]  Amphenol  ← 이평선수렴, RSI/MACD
$    66B    [+2.2%]  FedEx(52주)  ← 52주신고가, RSI/MACD
$    65B    [+5.8%]  U.S. Bancorp  ← 이평선수렴, RSI/MACD
$    64B    [+3.6%]  Emerson  ← 이평선수렴, RSI/MACD
$    60B    [+4.1%]  PNC Financial Services(52주)  ← 52주신고가, 이평선수렴
$    58B    [+3.7%]  Monster Beverage(52주)  ← 52주신고가, 5일선라이딩
$    57B    [+1.1%]  Valero Energy(52주)  ← 52주신고가, RSI/MACD
$    53B    [+3.5%]  Welltower  ← 이평선수렴, RSI/MACD
$    52B    [+3.4%]  DexCom  ← 이평선수렴, RSI/MACD
$    52B    [+0.8%]  Hilton Worldwide(52주)  ← 52주신고가, RSI/MACD
$    51B    [+4.1%]  Carrier  ← 이평선수렴, RSI/MACD
$    51B    [+5.1%]  MetLife(52주)  ← 52주신고가, 5일선라이딩
$    51B    [+1.1%]  Fortinet(52주)  ← 52주신고가, 5일선라이딩
$    51B    [+0.4%]  The Travelers Companies(52주)  ← 52주신고가, 이평선수렴
$    51B    [+3.0%]  3M  ← 이평선수렴, RSI/MACD
$    50B    [+5.8%]  D. R. Horton  ← 이평선수렴, RSI/MACD
$    49B    [+5.0%]  Truist Financial  ← 이평선수렴, RSI/MACD
$    48B    [+5.3%]  Public Storage  ← 이평선수렴, RSI/MACD
$    47B    [+1.2%]  W. W. Grainger(52주)  ← 52주신고가, 5일선라이딩
$    47B    [+4.7%]  Nucor(52주)  ← 52주신고가, 5일선라이딩
$    46B    [-0.4%]  Aflac(52주)  ← 52주신고가, RSI/MACD
$    46B    [+4.2%]  Ross Stores(52주)  ← 52주신고가, RSI/MACD
$    44B    [+0.3%]  Allstate(52주)  ← 52주신고가, RSI/MACD
$    43B    [-1.1%]  IQVIA  ← 이평선수렴, RSI/MACD
$    42B    [+0.3%]  Ametek  ← 이평선수렴, RSI/MACD
$    41B    [+1.1%]  Bank of New York Mellon(52주)  ← 52주신고가, 5일선라이딩
$    41B    [+3.9%]  Keurig Dr Pepper  ← 5일선라이딩, 이평선수렴
$    40B    [-0.5%]  Fastenal  ← 컵위드핸들, 이평선수렴
$    39B    [+3.7%]  Prudential Financial  ← 이평선수렴, RSI/MACD
$    38B    [+4.6%]  Centene  ← 5일선라이딩, 이평선수렴
$    38B    [+8.3%]  Humana  ← 5일선라이딩, 이평선수렴
$    34B    [+0.1%]  Electronic Arts(52주)  ← 52주신고가, 이평선수렴
$    33B    [+5.1%]  Royal Caribbean  ← 이평선수렴, RSI/MACD
$    32B    [+4.9%]  PPG Industries  ← 이평선수렴, RSI/MACD
$    31B    [+3.0%]  Dupont De Nemours  ← 이평선수렴, RSI/MACD
$    31B    [+3.6%]  Extra Space Storage  ← 이평선수렴, RSI/MACD
$    29B    [+2.4%]  Biogen  ← 이평선수렴, RSI/MACD
$    27B    [+4.8%]  Dollar Tree  ← 이평선수렴, RSI/MACD
$    26B    [-0.5%]  Edison International  ← 이평선수렴, RSI/MACD
$    26B    [+1.8%]  Wabtec  ← 이평선수렴, RSI/MACD
$    26B    [+3.4%]  T. Rowe Price  ← 5일선라이딩, 이평선수렴
$    26B    [+8.8%]  Cardinal Health  ← 이평선수렴, RSI/MACD
$    24B    [+1.2%]  Dover  ← 이평선수렴, RSI/MACD
$    24B    [+5.2%]  Fifth Third Bank(52주)  ← 52주신고가, 이평선수렴
$    24B    [+0.1%]  HEICO  ← 5일선라이딩, 이평선수렴
$    23B    [+3.6%]  State Street Corporation(52주)  ← 52주신고가, 5일선라이딩
$    23B    [+1.6%]  First Citizens BancShares  ← 이평선수렴, RSI/MACD
$    22B    [+4.2%]  M&T Bank(52주)  ← 52주신고가, 이평선수렴
$    21B    [+3.7%]  Alexandria Real Estate Equities  ← 이평선수렴, RSI/MACD
$    21B    [+7.6%]  Baxter  ← 이평선수렴, RSI/MACD
$    19B    [+6.1%]  Huntington Bancshares  ← 이평선수렴, RSI/MACD
$    19B    [+6.5%]  Carnival Corporation  ← 이평선수렴, RSI/MACD
$    19B    [+5.6%]  Principal(역사적)  ← 52주신고가, 5일선라이딩
$    19B    [+2.3%]  Cincinnati Financial  ← 이평선수렴, RSI/MACD
$    19B    [+9.1%]  Williams-Sonoma(52주)  ← 52주신고가, 이평선수렴
$    18B    [+6.7%]  Darden Restaurants  ← 컵위드핸들, 이평선수렴
$    18B    [+2.6%]  Regions Financial  ← 이평선수렴, RSI/MACD
$    17B    [+2.3%]  Northern Trust(52주)  ← 52주신고가, 5일선라이딩
$    17B    [+2.5%]  Avantor  ← 이평선수렴, RSI/MACD
$    17B    [+9.8%]  Best Buy  ← 이평선수렴, RSI/MACD
$    17B    [+3.9%]  Expeditors(52주)  ← 52주신고가, 5일선라이딩
$    17B    [+7.0%]  Corebridge Financial  ← 이평선수렴, RSI/MACD
$    16B    [+9.5%]  Southwest Airlines  ← 이평선수렴, RSI/MACD
$    16B    [+3.6%]  Synchrony  ← 이평선수렴, RSI/MACD
$    16B    [+2.4%]  Packaging Corporation of America  ← 컵위드핸들, 이평선수렴
$    16B    [+6.7%]  Masco  ← 이평선수렴, RSI/MACD
$    15B    [+3.3%]  Hyatt Hotels(52주)  ← 52주신고가, 5일선라이딩
$    15B    [+1.0%]  Mid-America Apartment Communities  ← 이평선수렴, RSI/MACD
$    15B    [+2.0%]  Snap-on  ← 이평선수렴, RSI/MACD
$    15B    [+5.7%]  Citizens Financial Group(52주)  ← 52주신고가, 이평선수렴
$    15B    [+1.9%]  Nordson  ← 이평선수렴, RSI/MACD
$    15B    [+4.3%]  XPO Logistics(52주)  ← 52주신고가, 이평선수렴
$    14B    [+1.4%]  Quest Diagnostics  ← 이평선수렴, RSI/MACD
$    14B    [+1.1%]  Host Hotels & Resorts(52주)  ← 52주신고가, 5일선라이딩
$    14B    [+6.5%]  Stanley Black &amp; Decker  ← 이평선수렴, RSI/MACD
$    14B    [-1.6%]  Fox Corporation  ← 5일선라이딩, 이평선수렴
$    14B    [+9.3%]  United Airlines Holdings  ← 이평선수렴, RSI/MACD
$    14B    [+4.3%]  KeyCorp (KeyBank)  ← 이평선수렴, RSI/MACD
$    13B    [+0.5%]  UDR Apartments  ← 이평선수렴, RSI/MACD
$    13B    [+6.7%]  Toll Brothers  ← 이평선수렴, RSI/MACD
$    12B    [+3.4%]  Charles River Laboratories  ← 이평선수렴, RSI/MACD
$    12B   [+10.3%]  US Foods  ← 이평선수렴, RSI/MACD
$    12B    [+2.5%]  Ares Capital  ← 이평선수렴, RSI/MACD
$    12B    [+2.9%]  Medpace  ← 이평선수렴, RSI/MACD
$    12B    [+1.3%]  NiSource  ← 이평선수렴, RSI/MACD
$    12B    [+2.7%]  Reinsurance Group of America  ← 컵위드핸들, 이평선수렴
$    12B    [+6.0%]  Incyte  ← 이평선수렴, RSI/MACD
$    12B    [+7.9%]  Equitable Holdings  ← 이평선수렴, RSI/MACD
$    12B   [+12.5%]  J.M. Smucker Company  ← 이평선수렴, RSI/MACD
$    11B   [+17.5%]  Casey's General Stores(52주)  ← 52주신고가, RSI/MACD
$    11B    [-1.5%]  Natera  ← 이평선수렴, RSI/MACD
$    11B    [+3.9%]  Regal Rexnord  ← 이평선수렴, RSI/MACD
$    11B    [+7.2%]  Performance Food Group  ← 5일선라이딩, 이평선수렴
$    11B    [+1.2%]  American Financial Group  ← 이평선수렴, RSI/MACD
$    10B    [+2.1%]  Camden Property Trust  ← 이평선수렴, RSI/MACD
$    10B   [+10.2%]  Ralph Lauren(52주)  ← 52주신고가, 이평선수렴
$    10B    [+6.8%]  Unum(역사적)  ← 52주신고가, 5일선라이딩
$    10B    [+6.3%]  Boston Properties  ← 이평선수렴, RSI/MACD
$     9B    [+5.2%]  Tapestry  ← 이평선수렴, RSI/MACD
$     9B    [+4.9%]  Henry Schein  ← 이평선수렴, RSI/MACD
$     9B    [+1.4%]  Assurant(52주)  ← 52주신고가, 5일선라이딩
$     9B   [+27.9%]  Onto Innovation(52주)  ← 52주신고가, RSI/MACD
$     9B   [+12.5%]  Duolingo  ← 이평선수렴, RSI/MACD
$     9B   [+10.7%]  Jefferies Financial Group  ← 5일선라이딩, 이평선수렴
$     9B    [+8.1%]  Woodward  ← 이평선수렴, RSI/MACD
$     9B    [+1.2%]  Eagle Materials  ← 이평선수렴, RSI/MACD
$     9B   [+11.7%]  SharkNinja  ← 이평선수렴, RSI/MACD
$     8B    [+5.2%]  C. H. Robinson  ← 이평선수렴, RSI/MACD
$     8B    [-0.1%]  TKO Group  ← 5일선라이딩, 이평선수렴
$     8B    [-1.6%]  Acuity Brands  ← 이평선수렴, RSI/MACD
$     8B    [+2.3%]  Webster Financial(52주)  ← 52주신고가, 이평선수렴
$     8B    [+4.1%]  First Horizon National  ← 이평선수렴, RSI/MACD
$     8B    [+4.1%]  Simpson Manufacturing Company  ← 이평선수렴, RSI/MACD
$     8B    [+2.3%]  Middleby  ← 이평선수렴, RSI/MACD
$     8B    [+4.9%]  NOV  ← 이평선수렴, RSI/MACD
$     8B    [+9.4%]  Crane Co.  ← 이평선수렴, RSI/MACD
$     7B    [+8.5%]  Lithia Motors  ← 이평선수렴, RSI/MACD
$     7B   [+13.5%]  Wayfair  ← 이평선수렴, RSI/MACD
$     7B    [+2.9%]  Axalta  ← 이평선수렴, RSI/MACD
$     7B    [+6.7%]  Fluor Corporation  ← 이평선수렴, RSI/MACD
$     7B    [+5.6%]  Cullen/Frost Bankers  ← 컵위드핸들, 이평선수렴
$     7B    [+4.1%]  STAG Industrial  ← 이평선수렴, RSI/MACD
$     7B    [+5.7%]  Invesco(52주)  ← 52주신고가, 이평선수렴
$     7B    [+6.0%]  Watts Water Technologies  ← 이평선수렴, RSI/MACD
$     7B    [+5.2%]  Commerce Bancshares  ← 이평선수렴, RSI/MACD
$     7B    [+0.6%]  Dillard's  ← 이평선수렴, RSI/MACD
$     6B    [+1.6%]  TriNet  ← 이평선수렴, RSI/MACD
$     6B   [+11.8%]  Allegheny Technologies(역사적)  ← 52주신고가, RSI/MACD
$     6B    [+4.9%]  Commercial Metals Company  ← 이평선수렴, RSI/MACD
$     6B    [+0.0%]  Apellis Pharmaceuticals  ← 5일선라이딩, 이평선수렴
$     6B    [+4.4%]  Western Alliance Bancorporation  ← 이평선수렴, RSI/MACD
$     6B    [-0.5%]  Boyd Gaming(52주)  ← 52주신고가, 이평선수렴
$     6B    [+6.2%]  Flowserve  ← 이평선수렴, RSI/MACD
$     6B    [+1.2%]  Qualys  ← 이평선수렴, RSI/MACD
$     6B   [+10.0%]  Red Rock Resorts  ← 이평선수렴, RSI/MACD
